"node1","node2","bact2_w0_net","other_w24_net"
"Node72","Node24","0.0584369109771942","0"
"Node93","Node24","0.247939479635992","0"
"Node44","Node25","0.000256050227298182","0"
"Node49","Node25","0.0331400555418316","0.0812282544978315"
"Node28","Node26","0.00516485790493353","0.0753522372542475"
"Node30","Node26","0.176590746469681","0.148768784352327"
"Node31","Node26","0.0854732432599192","0.149029486607271"
"Node37","Node26","0.000463577411971047","0"
"Node41","Node26","0.0786367464029129","0.170774228341713"
"Node44","Node26","0.110280983087493","0.0589889726417785"
"Node45","Node26","0.0111384136452161","0.0292594853819597"
"Node46","Node26","0.0287269561197906","0"
"Node49","Node26","0.107227619466717","0.0959741913923388"
"Node51","Node26","0.24792383075613","0"
"Node54","Node26","0.136306586366769","0"
"Node62","Node26","0.0678869504684781","0"
"Node65","Node26","0.0879653829903783","0"
"Node67","Node26","0.0240039151800567","0.147128377291444"
"Node77","Node26","0.0209291522476914","0"
"Node78","Node26","0.0605758597341697","0.105494406403612"
"Node82","Node26","0","0.0214474322578994"
"Node31","Node27","0.0993145677004745","0"
"Node32","Node27","0.0940258767336533","0"
"Node41","Node27","0.0816984084794666","0.0317766983173043"
"Node42","Node27","0.142617150425755","0"
"Node52","Node27","0.0147063576881199","0"
"Node64","Node27","0.092724629109104","0"
"Node67","Node27","0.0846498263776133","0"
"Node72","Node27","0.121608902380459","0"
"Node74","Node27","0.0546820320412061","0"
"Node82","Node27","0","0"
"Node87","Node27","0.0580405043253047","0"
"Node94","Node27","0.151320392483211","0"
"Node97","Node27","0.0492631459607317","0"
"Node9","Node28","0.0982071909827037","0.0721492999669044"
"Node30","Node28","0.0980788611075929","0.150178010986931"
"Node31","Node28","0.0196850157147591","0.0127106287004713"
"Node39","Node28","0","0.106452072355454"
"Node44","Node28","0.0444389852294232","0.0378995724651393"
"Node45","Node28","0.147558304796305","0.0990345164068244"
"Node46","Node28","0.0559451267677743","0.215688163021703"
"Node47","Node28","0.00304425884437471","0.204292636790903"
"Node48","Node28","0.0721978681827197","0"
"Node49","Node28","0.0336716414825039","0.157105950239171"
"Node50","Node28","0","0.0810035000881486"
"Node53","Node28","0","0"
"Node54","Node28","0.0272063950795865","0.0771675076827075"
"Node60","Node28","0.0644540003647753","0.00937900767414044"
"Node67","Node28","0.107108274534074","0.006663779197531"
"Node82","Node28","0","0.00249906051212848"
"Node84","Node28","0.0192788397264082","0"
"Node85","Node28","0.071792782488727","0.0770663733957741"
"Node95","Node28","0.176369430244382","0"
"Node96","Node28","0.0284381092397482","0.176487497459457"
"Node5","Node29","0.01312674592156","0"
"Node30","Node29","0.0603558758199095","0.00392875583309367"
"Node41","Node29","0.0178500474011332","0"
"Node44","Node29","0.0265000356893386","0"
"Node46","Node29","0.0419503520047624","0.116058521624702"
"Node49","Node29","0","0"
"Node56","Node29","0.0756418999279956","0"
"Node78","Node29","0.143255491423243","0.0913330837352978"
"Node79","Node29","0.0752351672072519","0.145384404699909"
"Node82","Node29","0.0632538870091346","0"
"Node84","Node29","0.116486718192732","0.0353295993670042"
"Node85","Node29","0.0207635154787041","0"
"Node86","Node29","0","0"
"Node97","Node29","0.0949237924671692","0"
"Node9","Node30","0.0343480057031423","0.00512786946036197"
"Node31","Node30","0.116322291858122","0.0628615887236453"
"Node39","Node30","0","0.0389955551286759"
"Node41","Node30","0.047760255695978","0.108437856484264"
"Node43","Node30","0.192797522294398","0.0754802356882229"
"Node44","Node30","0.0786294576961476","0.0152948610632062"
"Node45","Node30","0.0882579112929717","0.0671425271172295"
"Node46","Node30","0.194813648929798","0.0921762409343926"
"Node47","Node30","0.0775871225687059","0"
"Node48","Node30","0.021957893965722","0"
"Node49","Node30","0.0794328112386907","0"
"Node50","Node30","0.171845552262031","0"
"Node51","Node30","0.168742778732968","0"
"Node52","Node30","0","0"
"Node53","Node30","0.0700759963633621","0"
"Node54","Node30","0.0511537524282406","0.0200594733306309"
"Node56","Node30","0.100225157117094","0"
"Node59","Node30","0.0382680241729106","0.0868682534291212"
"Node62","Node30","0.0128675352601703","0.0317842508594525"
"Node65","Node30","0.142635739029322","0.0148510964984418"
"Node67","Node30","0.0243444168517734","0"
"Node72","Node30","0.00427097276143403","0"
"Node73","Node30","0.0174488061425657","0"
"Node74","Node30","0.0826932736583177","0"
"Node77","Node30","0.00670016055600541","0.260417150179907"
"Node78","Node30","0.139049599122618","0.327075204852509"
"Node82","Node30","0.0751355489350441","0.0251874254864619"
"Node83","Node30","0.0661884472985324","0"
"Node84","Node30","0.0235142758700606","0.0579652967318949"
"Node85","Node30","0.0315500258017152","0"
"Node86","Node30","0.128371319588164","0"
"Node91","Node30","0.0842048405640321","0"
"Node97","Node30","0.026715304355549","0"
"Node32","Node31","0.252321437195054","0.0760693334575349"
"Node37","Node31","0.0121920578734505","0"
"Node39","Node31","0","0"
"Node43","Node31","0.0398085287121229","0"
"Node44","Node31","0.20580979058707","0.032730162072064"
"Node45","Node31","0.155062509597489","0.148808208097029"
"Node46","Node31","0.0988055538939702","0.19910183333283"
"Node47","Node31","0.00910305884996176","0"
"Node48","Node31","0.115786268933171","0"
"Node49","Node31","0.0303868801657505","0.0291388108907315"
"Node50","Node31","0.0035609159454757","0"
"Node51","Node31","0.111753013008648","0"
"Node56","Node31","0.0007881619175467","0"
"Node62","Node31","0","0"
"Node65","Node31","0.0293171787177023","0"
"Node68","Node31","0.00157633812134288","0"
"Node72","Node31","5.22301647027803e-05","0"
"Node74","Node31","0.140103853358929","0"
"Node77","Node31","0.111349267782685","0.166904573142295"
"Node78","Node31","0.00565956551666076","0"
"Node82","Node31","0.113724533591272","0"
"Node91","Node31","0.130446346918246","0"
"Node6","Node32","0.0455444712864495","0"
"Node37","Node32","0.140208001174183","0"
"Node42","Node32","0.000298739285321168","0"
"Node44","Node32","0.0174045946492831","0"
"Node45","Node32","0.082975975861087","0.0658628703893793"
"Node60","Node32","0.226813426933512","0"
"Node87","Node32","0.00393050309894982","0"
"Node8","Node34","0.23707704413117","0.19049496476045"
"Node94","Node34","0.0181237785282783","0"
"Node6","Node35","0","0.000590029118902497"
"Node7","Node35","0.0176509995256197","0"
"Node45","Node35","0.0326649893725022","0.132425633494039"
"Node49","Node35","0.0162164041710278","0"
